step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
157,0,131509.96,1795911.27,1927421.23,1897828.92,1766318.97,0
232,0,74119.73,25930.0,100049.73,0.0,0.0,0
426,0,464147.0,2092284.01,2556431.01,717402.63,253255.63,0
21,0,197602.72,3339159.92,3536762.64,766863.79,569261.07,0
138,0,309321.58,12369.0,321690.58,1786843.32,1518431.15,0
139,0,162783.36,1547004.01,1709787.37,347116.21,184332.85,0
259,0,8978.61,2281351.45,2290330.06,2488736.12,2479757.51,0
308,0,63424.05,10781.0,74205.05,1030572.99,967148.93,0
358,0,137196.23,5889011.04,6026207.26,1091546.04,954349.81,0
301,0,266785.58,16095.0,282880.58,0.0,0.0,0
10,0,264458.94,7842035.58,8106494.52,1910097.4,2076454.79,0
185,0,54118.4,122617.0,176735.4,4736289.04,4682170.63,0
228,0,160123.5,4088752.63,4248876.13,362233.57,202110.07,0
403,0,73516.81,11157.0,84673.81,667268.21,593751.41,0
134,0,96321.89,2019152.72,2115474.61,217519.58,121197.7,0
355,0,287201.56,10166.0,297367.56,285441.7,0.0,0
155,0,280283.1,165808.0,446091.1,33134.76,0.0,0
228,0,310282.08,722685.88,1032967.96,596709.73,286427.65,0
19,0,172301.28,550.0,172851.28,2782503.59,2610202.31,0
42,0,218439.0,2791355.0,3009794.01,1680884.81,1462445.81,0
330,0,287689.06,5666418.71,5954107.77,26703431.79,26415742.73,0
370,0,92553.84,6508702.89,6601256.73,2203779.23,2111225.39,0
133,0,53845.34,1931209.77,1985055.11,148788.24,94942.9,0
402,0,150732.96,2365642.91,2516375.86,2649029.86,2498296.9,0
276,0,95081.08,3599884.69,3694965.77,591881.16,496800.08,0
43,0,293236.7,6039790.25,6333026.95,1558120.34,1264883.64,0
162,0,136325.97,10.0,136335.97,4710306.64,4573980.67,0
96,0,243412.48,24401.0,267813.48,384711.37,141298.89,0
18,0,573182.64,12208.0,585390.64,247803.7,0.0,0
137,0,96460.05,6803659.52,6900119.57,131531.46,69605.61,0
258,0,282210.24,765826.62,1048036.87,437473.33,155263.09,0
249,0,215959.38,2296097.17,2512056.55,2731074.09,2515114.71,0
12,0,95738.3,6242337.77,6338076.07,260774.35,165036.05,0
329,0,199718.79,899655.0,1099373.79,0.0,0.0,0
13,0,297121.16,8356052.86,8653174.01,2050319.5,1753198.34,0
19,0,45404.41,42118.0,87522.41,6928.41,0.0,0
370,0,67172.58,55522.0,122694.58,0.0,0.0,0
302,0,357951.82,2689112.79,3047064.61,2883807.75,2525855.93,0
160,0,296176.15,108582.76,404758.91,1154224.91,858048.76,0
136,0,59374.41,2620312.66,2679687.08,2890960.87,2831586.46,0
256,0,119162.17,26401.0,145563.17,0.0,0.0,0
325,0,216574.8,3881300.52,4097875.32,370990.94,154416.13,0
252,0,105270.75,2997361.28,3102632.03,1714742.59,1609471.83,0
234,0,26247.99,56979.0,83226.99,0.0,0.0,0
407,0,14221.88,7097.79,21319.68,304964.5,290742.62,0
374,0,247441.0,1791101.41,2038542.41,734110.5,486669.5,0
138,0,192055.84,202175.0,394230.84,1330215.1,1138159.25,0
353,0,42912.73,19093794.19,19136706.92,115830.33,72917.59,0
140,0,209930.81,10940.0,220870.81,1061685.23,851754.42,0
274,0,23806.37,1481384.6,1505190.97,38213.42,14407.04,0
249,0,22881.79,146944.0,169825.79,145151.3,122269.51,0
325,0,76440.93,182.0,76622.93,321504.66,245063.74,0
160,0,236117.11,2450923.56,2687040.67,10086395.37,9850278.26,0
164,0,131903.32,695729.06,827632.37,395623.5,263720.18,0
356,0,18331.77,11661680.28,11680012.05,358697.25,340365.48,0
301,0,221651.32,112589.0,334240.32,85523.89,0.0,0
357,0,45090.16,31187.0,76277.16,153491.3,108401.15,0
164,0,295892.05,59490.0,355382.05,0.0,0.0,0
137,0,67362.1,1012112.8,1079474.9,1196879.7,1129517.6,0
183,0,18978.22,8278882.29,8297860.51,257822.0,238843.79,0
17,0,94885.72,862041.63,956927.34,1300946.39,1206060.68,0
347,0,177749.11,3018312.96,3196062.07,906632.24,728883.13,0
190,0,241734.82,20429070.1,20670804.92,823425.47,581690.65,0
20,0,248942.1,10147661.27,10396603.37,6037333.39,5555766.64,0
249,0,154258.02,5297235.72,5451493.74,11312920.15,11158662.13,0
329,0,61141.58,6094.0,67235.58,37312.31,0.0,0
372,0,353376.63,378.0,353754.63,0.0,0.0,0
235,0,122704.02,20553.0,143257.02,151387.23,28683.21,0
16,0,95637.06,9493586.76,9589223.81,589127.22,81067.61,0
373,0,189617.49,1261270.81,1450888.29,215651.28,26033.79,0
251,0,277732.29,1317536.29,1595268.58,702851.66,425119.37,0
14,0,117330.82,20089298.42,20206629.24,18628295.2,18395810.61,0
158,0,90682.57,33942.0,124624.57,11356637.02,11265954.45,0
349,0,250969.37,603127.31,854096.69,346090.64,95121.26,0
187,0,257611.83,1705955.89,1963567.72,347941.39,90329.56,0
280,0,447258.65,2714696.9,3161955.55,8699726.75,8252468.1,0
203,0,45647.66,8087.0,53734.66,1060145.64,1014497.98,0
203,0,77629.74,8730023.23,8807652.97,2848138.35,2709585.05,0
186,0,40195.63,22682618.57,22722814.21,975045.29,934849.65,0
284,0,84587.14,565.0,85152.14,0.0,0.0,0
46,0,54580.85,133310.0,187890.85,215953.61,161372.76,0
258,0,74393.79,4760638.35,4835032.13,2357375.39,2282981.6,0
372,0,129682.63,4844497.07,4974179.7,1703156.66,1573474.03,0
359,0,367106.27,19442700.74,19809807.01,1356321.41,989215.13,0
229,0,168349.61,152558.54,320908.15,3880098.5,3711748.88,0
206,0,332633.27,18268956.53,18601589.8,2175327.23,1842693.95,0
37,0,318048.85,304557.0,622605.85,37808.91,0.0,0
10,0,12841.06,11570292.93,11583133.99,960471.0,584114.54,0
181,0,527666.2,30196.0,557862.2,0.0,0.0,0
573,0,330641.37,3100040.53,3430681.9,669872.7,339231.33,0
373,0,129586.88,101.0,129687.88,4022985.43,3893398.55,0
43,0,157372.85,20728.0,178100.85,153562.94,0.0,0
259,0,36566.11,0.0,36566.11,1264676.27,1228110.17,0
130,0,234147.88,194.0,234341.88,292158.52,58010.64,0
273,0,52712.69,4504.0,57216.69,658592.66,605879.97,0
44,0,38838.92,96.0,38934.92,65595.95,26757.02,0
45,0,150715.15,7971743.94,8122459.08,11575380.32,11424665.18,0
161,0,161458.95,392372.38,553831.33,1217822.64,1093377.84,0
395,0,208169.64,3793192.84,4001362.49,1055329.09,847159.44,0
351,0,33495.39,5310529.42,5344024.81,1773816.13,1740320.74,0
378,0,95605.39,0.0,95605.39,1058899.91,963294.52,0
394,0,41230.66,85277.0,126507.66,0.0,0.0,0
95,0,61865.95,7886527.08,7948393.03,3033767.51,2971901.56,0
599,0,144592.32,7932668.97,8077261.3,7760441.0,7615848.68,0
139,0,99439.21,51981.0,151420.21,667428.0,199989.07,0
43,0,163019.26,7434476.9,7597496.15,275674.08,112654.82,0
18,0,66991.54,51497.0,118488.54,0.0,0.0,0
380,0,139936.29,3242844.38,3382780.67,413888.18,273951.9,0
254,0,150266.55,31023.0,181289.55,860290.94,710024.39,0
206,0,233002.15,3831367.08,4064369.22,2201904.92,1968902.77,0
303,0,66706.78,7582702.27,7649409.05,1137892.99,1071186.21,0
180,0,143783.28,49668.0,193451.28,2243064.16,2099280.88,0
255,0,23254.19,19125104.08,19148358.27,2773324.74,2750070.54,0
229,0,333610.33,51640.0,385250.33,4365170.57,4031560.25,0
353,0,270522.11,7588854.46,7859376.57,790075.03,519552.92,0
204,0,87099.02,544718.78,631817.8,5797250.39,5710151.37,0
299,0,559831.97,343080.0,902911.97,28413.88,0.0,0
237,0,115268.59,2953581.05,3068849.64,337805.52,222536.93,0
40,0,417648.28,51570.0,469218.28,331744.48,0.0,0
305,0,144629.72,4913431.08,5058060.8,247932.81,103303.09,0
36,0,343208.76,6900258.22,7243466.98,2387806.62,2044597.86,0
380,0,151388.99,31815.0,183203.99,0.0,0.0,0
357,0,18181.12,11196341.29,11214522.41,2256253.45,2238072.33,0
44,0,114440.34,59225.0,173665.34,1813746.46,1699306.11,0
232,0,21526.19,10440590.28,10462116.47,159379.38,137853.19,0
250,0,290455.28,25472222.87,25762678.14,427762.13,137306.85,0
379,0,170944.71,673.0,171617.71,236293.14,65348.43,0
133,0,131370.22,12398399.81,12529770.02,8535202.03,8403831.81,0
212,0,56331.9,221052.29,277384.19,1055978.25,999646.34,0
379,0,221734.42,13074258.25,13295992.67,318306.84,96572.42,0
133,0,192309.49,2337525.68,2529835.17,590480.29,398170.81,0
11,0,124203.86,5983755.98,6107959.84,231592.51,107388.65,0
191,0,56519.66,2480522.56,2537042.22,192605.99,131764.88,0
46,0,122098.74,128675.0,250773.74,270055.81,147957.07,0
275,0,61299.24,11338.0,72637.24,0.0,0.0,0
238,0,3277.16,24657.0,27934.16,0.0,0.0,0
204,0,89125.81,279.0,89404.81,638292.29,549166.48,0
403,0,35394.91,2364341.15,2399736.06,438637.18,403242.27,0
33,0,72853.57,2299853.01,2372706.58,1085995.05,1013141.48,0
273,0,64566.44,22136.0,86702.44,150308.97,85742.53,0
187,0,26470.54,1069.0,27539.54,0.0,0.0,0
37,0,3821.92,1664991.21,1668813.13,2212058.36,2208236.44,0
323,0,254118.29,85380.0,339498.29,0.0,0.0,0
10,0,148155.29,30387.0,178542.29,0.0,0.0,0
377,0,57481.28,8203866.89,8261348.17,1143948.05,1086466.77,0
280,0,96521.22,20972.0,117493.22,694667.57,598146.35,0
259,0,164744.26,7800807.14,7965551.39,1697389.62,1532645.37,0
139,0,5658.15,27016.0,32674.15,67506.01,61847.86,0
398,0,439393.31,1381632.26,1821025.57,1097584.4,658191.09,0
203,0,583226.73,1673798.05,2257024.78,1690122.28,1106895.55,0
376,0,362750.11,6980151.96,7342902.08,3160086.44,2797336.33,0
237,0,230939.88,110228.0,341167.88,353053.52,122113.64,0
164,0,184293.96,2304365.17,2488659.13,1061497.56,877203.6,0
42,0,36658.03,11363.0,48021.03,161802.11,125232.89,0
232,0,527583.72,1901287.31,2428871.04,1532542.9,1004959.18,0
203,0,83162.38,806527.73,889690.11,241253.55,158091.16,0
273,0,212485.01,29614.0,242099.01,3552360.42,3339875.41,0
182,0,283813.26,304548.0,588361.26,264993.45,0.0,0
377,0,4124.67,150122.0,154246.67,0.0,0.0,0
522,0,60355.46,531.0,60886.46,0.0,0.0,0
37,0,117310.21,9627911.84,9745222.05,1169675.52,1052365.3,0
404,0,73118.15,9539556.67,9612674.83,174620.71,101502.56,0
179,0,108010.09,60578.0,168588.09,1117340.75,1009330.66,0
18,0,505006.16,1524152.48,2029158.65,1477522.53,972516.37,0
278,0,209057.56,10814667.32,11023724.87,261480.95,52423.39,0
229,0,214110.44,21025493.6,21239604.04,787313.61,573203.16,0
357,0,82808.14,20845.0,103653.14,1020716.66,937908.52,0
236,0,143615.0,53466.0,197081.0,0.0,0.0,0
132,0,182885.17,22316.0,205201.17,2279653.73,2611550.95,0
257,0,288691.43,2376346.0,2665037.43,720631.96,431940.53,0
14,0,42177.86,901879.64,944057.5,345183.05,2327493.97,0
394,0,111082.79,6643272.26,6754355.05,1773629.01,1662546.22,0
297,0,242559.91,42789.0,285348.91,309034.5,66474.59,0
278,0,347340.79,5249651.31,5596992.1,2022302.09,1674961.29,0
181,0,203066.78,1290.0,204356.78,630617.33,427550.55,0
394,0,217570.27,28449143.62,28666713.9,1119171.29,901601.02,0
202,0,178734.56,254.0,178988.56,1273503.27,1094768.72,0
156,0,303737.47,16447873.25,16751610.72,1128355.81,824618.34,0
96,0,72941.91,5698084.1,5771026.01,1281107.42,1208165.51,0
19,0,75923.36,2637588.11,2713511.47,169680.59,93757.23,0
322,0,7747.33,4923569.25,4931316.58,531914.6,524167.27,0
329,0,394760.57,36712.0,431472.57,0.0,0.0,0
564,0,48082.78,9134.0,57216.78,85673.29,37590.5,0
17,0,112088.62,21025.0,133113.62,102992.0,0.0,0
231,0,286152.8,6127191.35,6413344.15,2260337.99,1974185.19,0
158,0,297369.51,4066526.82,4363896.33,518849.91,377992.25,0
97,0,159702.45,10251744.64,10411447.09,447881.64,288179.18,0
375,0,220622.1,3106118.61,3326740.71,963788.99,743166.89,0
14,0,206693.72,15469695.97,15676389.69,1191962.19,1391400.46,0
396,0,251932.71,1068.0,253000.71,0.0,0.0,0
298,0,5385.75,18208234.4,18213620.14,283263.66,277877.91,0
394,0,49980.26,7098548.13,7148528.39,471351.67,421371.41,0
155,0,159575.8,400064.0,559639.8,0.0,0.0,0
251,0,36332.62,15212.0,51544.62,2260.53,0.0,0
227,0,257646.45,13979008.88,14236655.33,16819045.98,16561399.53,0
41,0,132540.84,51532.0,184072.84,971868.7,839327.86,0
306,0,193299.08,26611531.98,26804831.06,211011.52,17712.44,0
381,0,169438.41,11980121.91,12149560.32,507607.46,338169.05,0
404,0,291414.86,51897.0,343311.86,0.0,0.0,0
42,0,75810.33,11636.0,87446.33,0.0,0.0,0
283,0,79343.86,5392.0,84735.86,0.0,0.0,0
22,0,338009.13,8377013.77,8715022.9,1880331.72,1542322.59,0
330,0,75008.54,774666.65,849675.19,733225.5,658216.95,0
158,0,38027.68,582163.0,620190.68,166595.26,128567.59,0
206,0,326636.97,136526.03,463163.0,414934.76,88297.79,0
214,0,510377.45,5283683.08,5794060.54,1398864.2,888486.75,0
690,0,159894.74,15129.39,175024.14,2063908.41,1904013.67,0
44,0,9337.15,10720.0,20057.15,1442812.44,1433475.29,0
36,0,309478.79,54148.0,363626.79,0.0,0.0,0
325,0,315817.8,15539465.47,15855283.27,3076295.22,2760477.42,0
322,0,216538.65,51737.0,268275.65,0.0,0.0,0
204,0,75564.97,29839.0,105403.97,1178378.31,1102813.34,0
380,0,139342.6,509021.0,648363.6,49330.08,0.0,0
396,0,184312.79,128088.0,312400.79,10904726.79,10760287.02,0
308,0,18489.19,1443.0,19932.19,0.0,0.0,0
137,0,159943.7,17301748.09,17461691.79,161833.53,1889.83,0
260,0,59696.26,16397.7,76093.97,6499169.66,6439473.4,0
34,0,351164.59,14203705.56,14554870.15,992158.96,1002436.34,0
352,0,155902.88,15580485.93,15736388.81,334892.18,178989.3,0
185,0,88873.79,7533897.26,7622771.05,215215.24,126341.45,0
442,0,203374.36,2871470.55,3074844.92,569649.44,366275.07,0
43,0,53115.06,20807530.47,20860645.53,260484.4,207369.33,0
17,0,1138.35,21349.0,22487.35,1180811.47,1179673.12,0
378,0,43408.84,31369.0,74777.84,0.0,0.0,0
311,0,26739.44,23880.0,50619.44,1922088.9,1895349.46,0
522,0,106271.7,11296781.69,11403053.39,13865559.24,13759287.54,0
136,0,64919.11,98695.0,163614.11,588198.41,523279.3,0
178,0,289700.67,23025.0,312725.67,103748.62,0.0,0
134,0,306606.95,1042.0,307648.95,115755.29,0.0,0
522,0,50207.25,1069270.99,1119478.24,4922024.43,4871817.18,0
187,0,26838.93,23201.0,50039.93,433204.24,406365.3,0
307,0,85257.43,4842742.82,4928000.25,181091.02,95833.6,0
232,0,390313.33,21000.0,411313.33,10471492.69,10081179.36,0
329,0,452825.97,88719.0,541544.97,115962.61,0.0,0
370,0,22572.43,18282543.66,18305116.09,440144.48,417572.05,0
188,0,650692.89,17360518.77,18011211.66,1915913.11,1265220.22,0
235,0,163452.58,5051088.19,5214540.76,889246.4,725793.83,0
191,0,20470.53,2649470.44,2669940.97,676951.15,656480.62,0
307,0,175070.7,15167395.55,15342466.25,3589269.96,3414199.26,0
19,0,72773.92,2013199.8,2085973.72,2250286.49,2177512.57,0
234,0,94373.34,4510812.39,4605185.73,2198188.48,2103815.14,0
230,0,119493.02,51587.0,171080.02,573909.93,454416.91,0
406,0,5245.29,21405.0,26650.29,5725554.44,5720309.15,0
297,0,201355.05,8716968.83,8918323.87,1551888.31,1350533.27,0
43,0,312183.62,9243483.35,9555666.97,586414.92,274231.3,0
403,0,364706.77,870942.09,1235648.86,3316344.5,2951637.73,0
345,0,15966.89,4733995.64,4749962.53,236851.51,220884.61,0
139,0,158779.62,3670076.35,3828855.98,329676.07,170896.45,0
133,0,7979.11,9567086.42,9575065.53,338656.86,330677.74,0
131,0,344041.64,16968478.45,17312520.09,2032931.67,1688890.03,0
278,0,261508.58,8794528.42,9056037.0,602189.23,340680.65,0
371,0,171512.71,253.0,171765.71,877052.72,705540.01,0
378,0,9846.27,863898.51,873744.78,327018.97,317172.7,0
354,0,490788.21,21525.0,512313.21,0.0,0.0,0
407,0,499180.71,15382310.34,15881491.06,1606526.97,1107346.26,0
135,0,313774.08,2653521.64,2967295.72,1748379.51,1434605.43,0
36,0,621207.17,21103.0,642310.17,196688.57,0.0,0
257,0,614690.54,7636204.86,8250895.4,1381358.44,766667.9,0
43,0,4772.79,3651274.28,3656047.07,100374.98,95602.19,0
159,0,286370.83,44756.0,331126.83,577365.4,290994.57,0
355,0,476093.88,11640.0,487733.88,7707767.74,7296250.13,0
159,0,274869.74,61616.0,336485.74,89119.78,0.0,0
35,0,55727.73,2062747.76,2118475.49,1465744.35,1410016.62,0
254,0,121241.57,6293641.8,6414883.37,473621.85,352380.28,0
299,0,148493.14,61544.0,210037.14,0.0,0.0,0
282,0,39763.7,589923.93,629687.63,2083031.98,2043268.28,0
283,0,37897.01,87196.0,125093.01,970204.66,932307.65,0
351,0,525239.52,1848745.1,2373984.62,1259599.25,734359.73,0
589,0,144546.68,3631539.1,3776085.79,832854.74,688308.06,0
256,0,272420.3,495196.0,767616.3,0.0,0.0,0
370,0,171202.79,52220.0,223422.79,4424350.3,4253147.51,0
331,0,170777.48,1725912.6,1896690.08,237712.24,66934.76,0
327,0,118655.09,8515713.15,8634368.24,2794493.0,2675837.9,0
377,0,100768.88,699889.57,800658.44,118802.37,18033.5,0
304,0,187745.72,3576253.43,3763999.15,954306.07,766560.36,0
17,0,300724.59,410265.0,710989.59,21484.0,0.0,0
209,0,172572.05,152008.0,324580.05,1427452.45,1254880.4,0
310,0,203401.65,10471.0,213872.65,454541.47,251139.81,0
305,0,296834.95,21799.0,318633.95,80305.27,0.0,0
202,0,263254.63,6874671.21,7137925.84,713408.4,450153.77,0
350,0,186492.12,5790.0,192282.12,0.0,0.0,0
235,0,332667.12,710.0,333377.12,597116.24,264449.12,0
690,0,267213.29,1104.0,268317.29,396259.34,129046.05,0
321,0,36475.33,61996.0,98471.33,1800476.17,1764000.84,0
133,0,270331.11,7504988.63,7775319.75,407147.68,136816.57,0
201,0,82693.7,61396.0,144089.7,0.0,0.0,0
229,0,403638.82,7.0,403645.82,16401.98,0.0,0
134,0,37084.46,49616.0,86700.46,217406.91,180322.45,0
400,0,151509.47,1165.0,152674.47,2398814.77,2247305.3,0
350,0,81546.13,76804.13,158350.27,263129.4,181583.27,0
19,0,14560.51,9482516.14,9497076.66,114594.65,217663.74,0
227,0,49059.45,17087.0,66146.45,165135.71,116076.26,0
253,0,108021.96,6634187.47,6742209.43,913172.82,805150.86,0
210,0,230436.1,7681821.59,7912257.68,457678.94,227242.84,0
307,0,123265.39,1657293.76,1780559.15,13232472.96,13109207.57,0
263,0,112473.22,11341497.35,11453970.57,2033566.6,1921093.38,0
353,0,238858.03,143181.97,382040.0,516378.1,277520.07,0
205,0,56106.49,51697.0,107803.49,0.0,0.0,0
211,0,9534.96,97722.78,107257.74,369296.23,359761.27,0
327,0,329737.97,9276034.53,9605772.5,343257.41,13519.44,0
355,0,123912.9,204206.0,328118.9,25646.4,0.0,0
